TRADEDATE,GAZP,YNDX,UNAC,NMTP,FESH,PIKK,AFLT,DSKY,MVID,MGNT,POLY,ALRS,NLMK,PHOR,MTSS,SBER,IRAO,NVTK,ROSN,FIVE,GMKN,LKOH,PLZL,SNGS,TATN
2018-10-31,155.47,1916.5,0.809,6.135,4.99,352.3,97.25,89.5,398.5,3590.0,608.0,99.9,160.42,2470.0,257.6,189.8,3.982,1049.8,460.45,1539.0,11000.0,4945.0,4152.0,26.57,784.4
2018-11-01,153.5,1999.0,0.823,6.15,5.055,353.7,96.88,90.38,401.7,3640.0,624.0,100.7,159.06,2480.0,258.25,188.67,3.9985,1082.1,460.0,1598.5,11250.0,4937.0,4148.5,26.5,779.0
2018-11-02,153.71,1995.0,0.827,6.185,5.11,353.2,101.78,90.76,407.0,3660.0,619.4,101.6,157.94,2509.0,262.2,192.6,3.9445,1080.4,459.6,1614.5,11470.0,4980.0,4185.0,26.685,792.7
2018-11-06,156.0,2002.0,0.848,6.315,5.125,353.4,102.4,90.5,404.9,3695.0,615.0,103.04,157.92,2527.0,264.0,197.8,4.0,1081.6,482.45,1629.5,11565.0,5055.0,4214.0,27.03,802.2
2018-11-07,157.85,1995.0,0.855,6.525,5.09,351.2,100.6,90.3,407.2,3720.0,625.0,103.0,157.6,2532.0,270.95,201.9,4.0245,1103.8,484.1,1640.0,11695.0,5174.5,4247.0,27.305,814.1
2018-11-08,157.51,1982.0,0.838,6.635,5.08,353.8,98.5,90.8,399.4,3735.0,630.5,103.24,156.8,2520.0,273.6,202.89,3.99,1087.2,475.0,1610.0,11698.0,5160.0,4260.0,27.225,819.2
2018-11-09,153.19,1921.5,0.805,6.62,5.025,348.8,95.14,90.38,397.0,3700.0,628.7,103.99,161.74,2492.0,269.3,195.75,4.0295,1062.3,468.6,1610.5,11689.0,5094.5,4356.0,27.365,813.4
2018-11-12,150.89,1886.0,0.811,6.61,5.055,350.3,96.9,91.0,397.8,3656.0,621.4,103.16,160.96,2471.0,265.95,196.82,3.95,1058.2,463.5,1577.5,11608.0,5129.0,4330.0,26.94,812.3
2018-11-13,148.83,1903.5,0.797,6.605,5.04,351.6,97.4,90.66,396.0,3629.5,620.0,102.3,164.0,2504.0,268.3,196.56,4.03,1087.5,443.6,1554.0,11608.0,4959.5,4323.5,26.93,793.0
2018-11-14,151.85,1940.0,0.79,6.705,5.005,352.1,103.3,90.62,393.5,3549.0,649.2,103.15,164.6,2512.0,269.3,199.2,3.979,1128.0,427.15,1535.5,11683.0,4856.5,4400.0,27.05,762.5
2018-11-15,154.14,1920.0,0.786,6.95,5.025,353.7,102.74,90.32,397.5,3543.5,630.4,101.51,164.38,2492.0,271.5,200.15,3.981,1118.0,424.25,1583.5,11701.0,4854.0,4329.5,27.19,752.3
2018-11-16,153.16,1916.0,0.772,7.0,4.965,349.9,101.2,90.0,400.5,3478.0,646.3,99.9,164.26,2500.0,267.0,199.26,3.957,1124.6,420.85,1565.0,11714.0,4824.0,4295.0,27.3,760.8
2018-11-19,154.1,1924.5,0.78,6.98,4.955,351.5,98.72,90.36,401.1,3500.0,651.1,100.51,163.24,2497.0,266.3,197.99,3.8575,1131.4,424.1,1558.5,11746.0,4845.5,4480.0,27.14,763.6
2018-11-20,151.51,1902.0,0.782,6.805,4.855,352.2,102.2,89.98,399.4,3454.5,653.9,100.14,163.5,2478.0,253.0,194.21,3.806,1119.6,413.55,1513.5,11742.0,4809.5,4450.0,26.945,750.8
2018-11-21,152.4,1909.0,0.778,6.94,4.9,355.3,108.8,89.82,396.2,3496.0,664.7,99.81,162.66,2458.0,252.4,197.5,3.8825,1135.0,411.85,1558.5,11820.0,4800.0,4550.0,27.155,758.3
2018-11-22,153.91,1921.0,0.774,6.95,5.0,354.3,109.9,89.88,400.1,3493.0,666.1,101.3,163.86,2450.0,253.95,199.4,3.961,1124.0,411.1,1583.0,11876.0,4813.5,4689.0,27.285,755.0
2018-11-23,151.79,1898.5,0.78,6.85,4.95,353.7,113.74,89.34,398.7,3461.0,661.0,101.8,164.86,2483.0,248.9,197.3,3.976,1115.6,405.2,1606.5,11954.0,4670.0,4732.0,27.2,726.7
2018-11-26,149.53,1920.0,0.765,6.74,4.855,348.4,110.9,89.62,399.5,3490.0,690.0,99.49,162.28,2487.0,247.5,188.5,3.8995,1096.0,407.0,1597.0,11959.0,4623.0,4752.0,26.76,705.7
